starttime,direction,speed
2015-12-03 01:00:00,280,50.4
2015-12-03 02:00:00,270,53.64
2015-12-03 03:00:00,280,56.88
2015-12-03 04:00:00,290,57.24
2015-12-03 05:00:00,280,50.4
2015-12-03 06:00:00,270,53.64
2015-12-03 07:00:00,280,50.4
2015-12-03 08:00:00,280,50.4
2015-12-03 09:00:00,280,50.4
2015-12-03 10:00:00,280,50.4
2015-12-03 11:00:00,280,53.64
2015-12-03 12:00:00,280,53.64
2015-12-03 13:00:00,280,50.4
2015-12-03 14:00:00,280,50.4
2015-12-03 15:00:00,280,46.8
2015-12-03 16:00:00,280,50.4
2015-12-03 17:00:00,280,50.4
2015-12-03 18:00:00,270,46.8
2015-12-03 19:00:00,280,43.56
2015-12-03 20:00:00,280,50.4
2015-12-03 21:00:00,280,46.8
2015-12-03 22:00:00,280,46.8
2015-12-03 23:00:00,280,46.8
2015-12-04 00:00:00,290,47.16
